LoanID,MemberID,ItemID,LoanDate,DueDate,ReturnDate,FineID,LibrarianID,LateReturn
619807441340649209,ae13419f-ce14-45bb-b49c-cc144cc19f82,4257599750999388,2024-04-27 03:31:10,2024-05-04 12:00:00,2024-05-04 13:54:20,7602071153,1012,Yes
371982816644650,84577ba9-4678-4c66-a8ca-6a75f57bbe2d,341316749851802,2024-04-29 02:10:14,2024-05-06 12:00:00,2024-04-30 09:48:02,,1001,No
618541295951826982,114ff942-62cb-46dc-91e8-a75fbcbbdb72,344049291053328,2024-04-27 09:08:04,2024-05-04 12:00:00,2024-05-04 23:18:51,9924059106,1011,Yes
5330556026127358,34ab3752-efce-4af4-856a-46ecb60fac2b,348387027107323,2024-04-27 16:50:27,2024-05-04 12:00:00,2024-04-28 12:55:50,,1012,No
342443311770938,9b545725-d30e-492f-ac35-19b6f5117d7f,5151357605498005,2024-04-27 22:16:08,2024-05-04 12:00:00,2024-05-04 22:06:04,6512426636,1012,Yes
5473246494435510,ead9b88f-b10f-4be6-9336-e43713709dbf,5304561818991187,2024-05-02 00:55:44,2024-05-09 12:00:00,2024-05-03 17:42:43,,1008,No
614793089347913172,dd719f77-fac1-4efa-a341-4beb32aac561,617151907212232460,2024-04-27 21:26:37,2024-05-04 12:00:00,2024-04-28 14:00:32,,1003,No
5229470567102495,81cf6e5d-d7ca-4cae-9373-5665b664759d,340650926418121,2024-04-29 01:10:29,2024-05-06 12:00:00,2024-05-06 00:35:10,,1014,No
5390261403107738,a4ddb6f0-be1a-43df-b357-a52347247c04,5333835480439054,2024-04-29 04:31:37,2024-05-06 12:00:00,2024-04-30 01:38:38,,1003,No
378740938189483,f5d71fc8-9554-4394-9b85-9fde59d8cd92,342595629768639,2024-04-29 08:00:18,2024-05-06 12:00:00,2024-04-30 00:59:58,,1004,No
378197491115658,d7d9f14f-dba7-4935-b3be-9d5ac73c336e,4655711671912550,2024-04-27 15:13:36,2024-05-04 12:00:00,2024-05-04 08:57:52,,1008,No
605078927295170218,5037d41b-2842-4e92-85a0-8eaf4ada8c79,616755557690594915,2024-04-29 02:16:20,2024-05-06 12:00:00,2024-05-06 07:51:50,,1000,No
377406415537317,10491a05-44fe-4b8c-9a77-267476517583,616491866622548603,2024-04-29 10:00:14,2024-05-06 12:00:00,2024-04-30 06:39:30,,1013,No
5431690726535772,c94dd1f1-97f5-42a1-bc72-ac43adeaecb6,5253437748129191,2024-04-28 10:25:06,2024-05-05 12:00:00,2024-04-29 16:34:18,,1008,No
5300893895609588,6334ee1d-c37b-4e03-b89c-bf91281dc347,5369604207022388,2024-04-29 13:35:40,2024-05-06 12:00:00,2024-05-06 02:49:24,,1010,No
617795610064896398,bc600d80-882e-42d6-9ae4-d86ac80571cf,4066026457822615,2024-04-26 23:45:20,2024-05-03 12:00:00,2024-04-27 04:07:01,,1002,No
5259077009099032,fe39ecac-5647-4e2e-83ff-12c58840d016,5339797658943966,2024-04-30 15:45:09,2024-05-07 12:00:00,2024-05-01 13:29:45,,1010,No
4919415722571140,2304291e-5d72-4e1e-bb81-8d0fa417f773,4896574243113555,2024-04-27 23:44:46,2024-05-04 12:00:00,2024-05-04 21:19:33,9900120609,1001,Yes
340151685101771,d1fd582e-8d87-4f65-bf80-7756e587aaa7,4970217494564,2024-04-28 12:36:28,2024-05-05 12:00:00,2024-04-29 19:51:06,,1012,No
