ReservationID,MemberID,ItemID,RequestDate
5404507502493682,5037d41b-2842-4e92-85a0-8eaf4ada8c79,341316749851802,2024-05-09 05:53:37
346538463139413,87eda8fb-c168-432d-90c6-bd575b102aba,342595629768639,2024-05-09 14:39:51
4403377272730,cb4a015c-bfed-4931-9eee-809607963043,344049291053328,2024-05-09 03:48:57
5495369330248634,8058c92b-239a-4852-bb9c-3617956299a5,348387027107323,2024-05-10 08:40:21
4846657615642516,79e33b0c-d033-47d0-954f-4cf0cddba77f,370567932669295,2024-05-09 03:28:11
379278718954701,e575cdaf-f89c-40a6-bec2-2fdeeb66a296,373987461974889,2024-05-09 22:42:26
4056056790163247,c39b445a-bbf4-46e3-bceb-f3bb9c02a5fa,4027806687352030,2024-05-08 00:04:06
612410076994374334,93fb0f82-2afd-496b-b5a0-02f043c69364,4075482286132,2024-05-08 19:01:31
345620425206242,6d7e2fc7-4f38-466b-8d86-d696ff5c7658,4177629731163,2024-05-08 12:41:47
4546168780255,42051088-c385-49ea-ba68-e25d7f8baa5a,4285672507316051,2024-05-09 06:23:37
378705557985462,84777f33-79a5-4fb6-9508-bcc6cb191efa,5304561818991187,2024-05-08 16:56:24
370185766950242,9b91d8b5-613a-467c-b7b1-4b1dfc5b2d51,5473724526011400,2024-05-09 04:56:59
5427777787895918,f5d71fc8-9554-4394-9b85-9fde59d8cd92,5518194732932400,2024-05-07 05:00:00
619669506149084761,4ce2c7fc-9d4a-43a9-8f5c-6bfcfd00c4f7,602389821564514456,2024-05-10 23:02:59
618544953733142030,fc928210-fa26-4458-9fa7-bd59e3afdb37,607815377153601793,2024-05-10 16:37:42
375286436714433,6b023a74-a9b6-4357-b739-e4873a199eb0,610589711124547552,2024-05-10 00:02:34
606659474323026208,d123be72-f4f3-4b46-a6fe-1d7eb605d867,612413388825907167,2024-05-10 19:55:17
4211751435138628,800aff3c-7dc3-41fe-8569-9b679bef6c3b,615865578099736492,2024-05-08 03:19:11
4814421504784,78e42022-ded0-49dd-93ab-7779e6442b70,616491866622548603,2024-05-07 05:53:21
5357241495974642,8e6afdfb-4ab0-4347-858b-6d13b2dd381d,617151907212232460,2024-05-08 15:27:37
